etape,image,taille_mo,paquets,cve_total,critical,high,medium,low,unknown,image_id
ALPINE,projet:alpine,103.04,65,9,0,2,6,1,0,sha256:0eedb1d01897cc8eff0cdf7dfaf08d51e3dab6d8b50515ede752b19787368efe,0.71.1,2026-09-20
H0,projet:h0,723.52,246,4910,24,305,4111,470,0,sha256:cc5426e2313bbe70f89f693ac22461e04180ebdee76f64523f4eea58437477f8,0.71.1,2026-09-18
H1,projet:h1,735.95,246,4724,11,286,3971,456,0,sha256:54391585ef635a52f5c20c6c2cbbcdb246a2850a8cf4777ebd98f4c41a40728a,0.71.1,2026-09-18
H2,projet:h2,188.01,95,278,3,84,104,86,1,sha256:eca5cf9cf9e1e108a3d3778c32afd0a023543fa1c03dc92da6c1eb234ceac470,0.71.1,2026-09-18
H3,projet:h3,175.62,95,278,3,84,104,86,1,sha256:aa925ff383852dcae73acdabbbe57b549c2a51db4baec1d820c13f7806ab3819,0.71.1,2026-09-18
H4,projet:h4,83.75,41,253,2,47,126,76,2,sha256:54a68297d63ce364be233a0a8052ecaf12f6f12b764f27ddce58b6647f821737,0.71.1,2026-09-18
H5,projet:h5,83.75,41,253,2,47,126,76,2,sha256:a3bd63011ec10f141f593219e1f9a7a0f041b2eaf403b5516ea4503f863f0f99,0.71.1,2026-09-18
H7,projet:h7,79.76,41,253,2,47,126,76,2,sha256:c07bad855645e291a3a2f5f42fa520544b5cd55024b8867953a91a250cd59e7a,0.71.1,2026-09-18
